species,decimalLongitude,decimalLatitude,year,bioamerica_70_20.bioame_bio_01,bioamerica_70_20.bioame_bio_02,bioamerica_70_20.bioame_bio_03,bioamerica_70_20.bioame_bio_04,bioamerica_70_20.bioame_bio_05,bioamerica_70_20.bioame_bio_06,bioamerica_70_20.bioame_bio_07,bioamerica_70_20.bioame_bio_08,bioamerica_70_20.bioame_bio_09,bioamerica_70_20.bioame_bio_10,bioamerica_70_20.bioame_bio_11,bioamerica_70_20.bioame_bio_12,bioamerica_70_20.bioame_bio_13,bioamerica_70_20.bioame_bio_14,bioamerica_70_20.bioame_bio_15,bioamerica_70_20.bioame_bio_16,bioamerica_70_20.bioame_bio_17,bioamerica_70_20.bioame_bio_18,bioamerica_70_20.bioame_bio_19
Urocyon cinereoargenteus,-123.3156971,44.1492316,1970,121.096771240234,100.838706970215,40.6693534851074,4937.29052734375,264.774200439453,15.8064517974854,248.967742919922,70.1881713867188,180.795700073242,184.419036865234,64.6451644897461,1257.83874511719,313.290313720703,4.29032278060913,0.935483872890472,700.967712402344,45.7419357299805,54.8387107849121,643.419372558594
Urocyon cinereoargenteus,-78.43122,44.22651,1977,69.3548355102539,81.5806427001953,21.5541934967041,10259.61328125,248.258071899414,-132.225799560547,380.483856201172,93.4946212768555,6.80107545852661,191.531616210938,-59.2903213500977,712.806457519531,96.6128997802734,29.2580642700195,0.343548387289047,233.741928100586,128.064514160156,187.935485839844,154.967742919922
Urocyon cinereoargenteus,-79.128442,43.97281,1979,71.6774215698242,84.2903213500977,22.4790325164795,10111.4833984375,251.419357299805,-125.419357299805,376.838714599609,113.091400146484,2.80107545852661,192.435806274414,-54.5161285400391,830.032287597656,113.451614379883,33.1935501098633,0.355483859777451,277.322570800781,146,230.967742919922,175.032257080078
Urocyon cinereoargenteus,-87.935893,41.769753,1988,95.9032287597656,89.1612930297852,23.4977416992188,10267.38671875,278.354827880859,-103.387100219727,381.741943359375,169.698928833008,5.32795715332031,217.166778564453,-33.9677429199219,891.258056640625,153.935485839844,20.7419357299805,0.553548395633698,359.193542480469,108.870964050293,296,125.096771240234
Urocyon cinereoargenteus,-84.4420927,42.5796514,1998,88.3871002197266,92.4193572998047,24.5829029083252,10095.38671875,273.967742919922,-103.677421569824,377.645172119141,155.096771240234,-0.833333492279053,208.973541259766,-37.8064498901367,785.935485839844,122.032257080078,22.2580642700195,0.456129044294357,281.612915039063,114.290321350098,242.806457519531,131.290328979492
Urocyon cinereoargenteus,-84.380991,42.6691505,1990,88.1935501098633,92.6128997802734,24.5716133117676,10108.2255859375,274,-104.612899780273,378.612915039063,154.82258605957,-6.89784955978394,208.816772460938,-38.2258071899414,773.645141601563,120.451614379883,22.0322589874268,0.454516142606735,276.677429199219,112.709678649902,237.903228759766,128.870971679688
Urocyon cinereoargenteus,-83.7690724,42.2483554,1975,89.7419357299805,87.6451644897461,23.7477416992188,10008.2900390625,270.774200439453,-100.096771240234,370.870971679688,150.048385620117,23.5322570800781,209.161285400391,-35.2903213500977,778.967712402344,117.419357299805,23.5483875274658,0.439354836940765,274.741943359375,117.354835510254,232,142.870971679688
Urocyon cinereoargenteus,-80.67639,41.89083,1979,93.6451644897461,71,21.1464519500732,9404.8388671875,256.903228759766,-81.1935501098633,338.096771240234,128.516128540039,1.8655914068222,206.370651245117,-23.1935482025147,1032.29028320313,149,38.0322570800781,0.384838700294495,347.419342041016,173.645156860352,297.806457519531,193.967742919922
Urocyon cinereoargenteus,-80.545,41.93972,1979,95.0645141601563,71.9677429199219,21.3622589111328,9399.064453125,259.064514160156,-80.1612930297852,339.225799560547,131.838714599609,3.54838728904724,207.930969238281,-21.4516124725342,975.709655761719,140.387100219727,36.2258071899414,0.380967736244202,327.612915039063,164.483871459961,282.129028320313,185
Urocyon cinereoargenteus,-80.69223,42.63417,1978,88.0322570800781,67.0967712402344,19.8122577667236,9603.5166015625,253.193542480469,-87.6774215698242,340.870971679688,97.0698928833008,59.6451606750488,203.623229980469,-30.1935482025147,971.129028320312,136.838714599609,38.8709678649902,0.353870958089829,315.741943359375,176.709671020508,253.645156860352,221.387100219727
Urocyon cinereoargenteus,-76.510119,42.222229,1996,85.6128997802735,86.5483856201172,24.1296768188477,9519.9677734375,257.806457519531,-103,360.806457519531,149.317199707031,-4.62365579605103,198.983871459961,-33.5483856201172,823.677429199219,132.32258605957,27.4516124725342,0.434516131877899,291.516143798828,131.903228759766,239.032257080078,155.870971679688
Urocyon cinereoargenteus,-72.050735,42.596451,1998,85.8387069702149,88.8064498901367,24.2322578430176,9602.322265625,262.870971679688,-105.225807189941,368.096771240234,80.2365570068359,105.376342773438,201.860000610352,-33.7419357299805,1047.93542480469,167.32258605957,33.4516143798828,0.451935470104218,352.612915039063,174.096771240234,256.064514160156,261.064514160156
Urocyon cinereoargenteus,-71.373953,42.865087,1999,90.2258071899414,84.0967712402344,23.3677425384522,9510.1611328125,263.225799560547,-98.2580642700195,361.483856201172,71.3602142333984,125.720428466797,205.28547668457,-28.1290321350098,1151.77416992188,186.290328979492,35.5161285400391,0.465161293745041,392,187.419357299805,262.709686279297,291.709686279297
Urocyon cinereoargenteus,-71.127581,42.634738,1999,92.6774215698242,75.4838714599609,22.3193550109863,9059.4189453125,255.096771240234,-84.7741928100586,339.870971679688,64.4516143798828,136.5,202.328063964844,-19.2903232574463,1312.45166015625,217.064514160156,39,0.485483855009079,452.677429199219,205.580642700195,265.193542480469,345.677429199219
