gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,srtm_17_09
1893337851,3d349fc8-84bc-46f9-b4d7-f1b115a9c9d2,urn:catalog:FC-UNAM:MZFC:13258:c1eae3f30f4714d39a8030ad583ddb93,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,PUERTO DE LA SOLEDAD,Oaxaca,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.158333,-96.999722,,,1229,1229,0,0,1993-10-07T00:00:00Z,7,10,1993,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,13258,"",ART,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),ART,"","",2022-11-24T21:18:39.778Z,"",COORDINATE_ROUNDED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2463
1893321085,dcb23fa1-3f1a-4678-b11d-249787e79cae,urn:catalog:IBUNAM:CNAR:2713:01924b5d78d13584d95a62936362f033,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Chignahuapan,Puebla,PRESENT,2,ff90b050-c256-11db-b71b-b8a03c50a862,19.84,-98.03,80,,1150,1150,0,0,1980-04-06T00:00:00Z,6,4,1980,5226604,5226604,PRESERVED_SPECIMEN,IBUNAM,CNAR,2713,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Refugio Vela Rivera,"","",2022-11-25T11:18:32.136Z,"",GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,2289
1145497999,09c4287e-e6d5-4552-a07f-bff8a00833d8,http://arctos.database.museum/guid/MVZ:Herp:191069?seid=222372,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,forest W of La Joya,Veracruz,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,19.615,-97.031667,300,,2125,0,,,1982-08-28T00:00:00Z,28,8,1982,5226604,5226604,PRESERVED_SPECIMEN,MVZ,Herp,MVZ:Herp:191069,315,"Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,"","Collector(s): David M. Darda, Stanley K. Sessions","","",2022-11-29T17:23:14.940Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2207
1145497972,09c4287e-e6d5-4552-a07f-bff8a00833d8,http://arctos.database.museum/guid/MVZ:Herp:191065?seid=1548639,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,1.5 km S (by dirt road) Puerto del Aire,Veracruz,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,18.6831584458192,-97.3439477978662,1922,,,,,,1981-11-06T00:00:00Z,6,11,1981,5226604,5226604,PRESERVED_SPECIMEN,MVZ,Herp,MVZ:Herp:191065,94,"Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,"","Collector(s): David M. Darda, Stanley K. Sessions","","",2022-11-29T17:23:21.765Z,"",COORDINATE_ROUNDED;COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2321
1145430137,09c4287e-e6d5-4552-a07f-bff8a00833d8,http://arctos.database.museum/guid/MVZ:Herp:130000?seid=884083,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,Cumbres de Acultzingo [just S Puerto del Aire],Veracruz,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,18.711111,-97.345278,1042,,2438,0,,,1974-01-01T00:00:00Z,1,1,1974,5226604,5226604,PRESERVED_SPECIMEN,MVZ,Herp,MVZ:Herp:130000,"","Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,"",Collector(s): James F. Lynch,"","",2022-11-29T17:23:27.635Z,"",COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2323
1145404288,09c4287e-e6d5-4552-a07f-bff8a00833d8,http://arctos.database.museum/guid/MVZ:Herp:106763?seid=125896,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,Puerto del Aire,Veracruz,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,18.699722,-97.338056,1172,,,,,,1973-01-01T00:00:00Z,1,1,1973,5226604,5226604,PRESERVED_SPECIMEN,MVZ,Herp,MVZ:Herp:106763,7879,"Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,"",Collector(s): Theodore J. Papenfuss,"","",2022-11-29T17:23:12.638Z,"",COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2374
812636371,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Herp:Herp-10273,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,Orizaba,Veracruz,PRESENT,,f56c5f80-055c-11d8-b84e-b8a03c50a862,18.8506512242782,-97.103355637267,,,,,,,1998-05-21T00:00:00Z,21,5,1998,5226604,5226604,PRESERVED_SPECIMEN,PSM,Herp,Herp-10273,"","",,CC0_1_0,"","DeGrauw, E.","",Native,2022-11-25T07:49:40.809Z,"",COORDINATE_ROUNDED;COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,1248
657469674,7a25f7aa-03fb-4322-aaeb-66719e1a9527,b1aaa202-e45e-448f-ac56-7067a3b9a3f1,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,0.5 mi. S Puerto del Aire,Veracruz,PRESENT,1,493fe050-055d-11d8-b84f-b8a03c50a862,18.7006576475711,-97.3333886042029,,,,,,,1971-08-28T00:00:00Z,28,8,1971,5226604,5226604,PRESERVED_SPECIMEN,LACM,Herps,127178,"","",,CC0_1_0,"",JW Wright Ceron,"",Native,2022-11-25T06:26:44.136Z,"",COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY,2358
657464664,7a25f7aa-03fb-4322-aaeb-66719e1a9527,09352480-648a-45e5-a7e9-624414b71406,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,3.2 km S. of Mex Hwy 150 at Puerto del Aire,Veracruz,PRESENT,1,493fe050-055d-11d8-b84f-b8a03c50a862,18.6806586048673,-97.3300584610309,,,,,,,1976-02-01T00:00:00Z,1,2,1976,5226604,5226604,PRESERVED_SPECIMEN,LACM,Herps,122493,M2979,"",,CC0_1_0,"","","",Native,2022-11-25T06:26:32.125Z,"",COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY,2436
657410046,7a25f7aa-03fb-4322-aaeb-66719e1a9527,76b6bb08-4a8f-4695-b684-ccba144f1c64,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,4 mi. SE Puerto del Aire,Veracruz,PRESENT,1,493fe050-055d-11d8-b84f-b8a03c50a862,18.7006578033034,-97.2800573415369,,,,,,,1970-04-03T00:00:00Z,3,4,1970,5226604,5226604,PRESERVED_SPECIMEN,LACM,Herps,67703,"","",,CC0_1_0,"",R.W. McDiarmid,"",Native,2022-11-25T06:26:19.573Z,"",COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY,1979
543480804,cece4fc2-1fec-4bb5-a335-7252548e3f0b,urn:catalog:CAS:HERP:135689,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,La Joya (on Hwy 140),Veracruz,PRESENT,,66522820-055c-11d8-b84e-b8a03c50a862,19.6506139633374,-97.0333845685028,,,,,,,1972-12-18T00:00:00Z,18,12,1972,5226604,5226604,PRESERVED_SPECIMEN,CAS,HERP,135689,7528,"",,CC0_1_0,"",T.J. Papenfuss,"","",2022-11-29T16:27:55.504Z,StillImage,COORDINATE_REPROJECTED,2083
