gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3881409521	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/127615732	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX		Puebla	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.930687	-97.828369	30527.0						2022-07-22T16:18:00	22	7	2022	5226604	5226604	HUMAN_OBSERVATION	iNaturalist	Observations	127615732		Miguel A. Chavez Caballero	2022-07-25T23:01:46	CC_BY_NC_4_0	bernardocarranza	bernardocarranza			2022-11-25T05:26:50.323Z	StillImage	COORDINATE_ROUNDED
3873638826	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/125085987	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX		Puebla	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.807644	-97.68357	30527.0						2014-01-13T15:36:00	13	1	2014	5226604	5226604	HUMAN_OBSERVATION	iNaturalist	Observations	125085987		Masked Lynx	2022-07-07T00:13:34	CC_BY_NC_4_0	mitch_mellado	mitch_mellado			2022-11-25T06:08:14.762Z	StillImage	COORDINATE_ROUNDED
3864888653	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46429?seid=4605122	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46429		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:33.674Z		INSTITUTION_MATCH_FUZZY
3864887412	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46460?seid=4605145	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-11-10T00:00:00	10	11	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46460		John Ottley	1993-11-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:33.114Z		INSTITUTION_MATCH_FUZZY
3864887041	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46432?seid=4605125	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46432		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:32.945Z		INSTITUTION_MATCH_FUZZY
3864885855	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46435?seid=4605128	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46435		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:32.413Z		INSTITUTION_MATCH_FUZZY
3864885604	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46457?seid=4605142	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-11-10T00:00:00	10	11	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46457		John Ottley	1993-11-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:32.317Z		INSTITUTION_MATCH_FUZZY
3864884780	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46438?seid=4605131	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46438		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:31.843Z		INSTITUTION_MATCH_FUZZY
3864883545	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46407?seid=4605111	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46407		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:31.406Z		INSTITUTION_MATCH_FUZZY
3864882779	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46401?seid=4605105	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46401		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:31.195Z		INSTITUTION_MATCH_FUZZY
