gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,ID_ntb,dataID
3113432770,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/77809142,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,"",Puebla,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,19.83385,-98.092444,30527,,,,,,2014-08-24T16:39:00Z,24,8,2014,5226604,5226604,HUMAN_OBSERVATION,iNaturalist,Observations,77809142,"",Eric Centenero Alcalá,2021-05-07T21:51:29Z,CC_BY_NC_4_0,Eric Centenero Alcalá,Eric Centenero Alcalá,,"",2022-11-25T05:55:18Z,"",COORDINATE_ROUNDED,117,ID: 117
3067802067,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/71670228,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,"",Puebla,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,19.880874,-97.886375,30527,,,,,,2014-10-26T11:06:00Z,26,10,2014,5226604,5226604,HUMAN_OBSERVATION,iNaturalist,Observations,71670228,"",Eric Centenero Alcalá,2021-03-21T01:15:50Z,CC_BY_NC_4_0,Eric Centenero Alcalá,Eric Centenero Alcalá,,"",2022-11-25T05:53:57Z,"",COORDINATE_ROUNDED,121,ID: 121
2868091650,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/60026417,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,"",Puebla,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,19.943847,-97.959797,30527,,,,,,2015-10-24T23:24:00Z,24,10,2015,5226604,5226604,HUMAN_OBSERVATION,iNaturalist,Observations,60026417,"",Miguel A. Chavez Caballero,2020-09-19T02:31:00Z,CC_BY_NC_4_0,Saúl Arias Corpuz,Saúl Arias Corpuz,,"",2022-11-25T05:51:42Z,StillImage,COORDINATE_ROUNDED,128,ID: 128
2629129787,63ed64cb-90b7-4ecc-b94c-3a0317742379,urn:catalog:ENCB-IPN:ENCB:786:7fb1a2edfe4ccba282f625dbd6e9acd2,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Acultzingo,Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.720301,-97.296898,,,0,0,0,0,1963-06-07T00:00:00Z,7,6,1963,5226604,5226604,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,786,"",T. Alvarez; J. C. López V.,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),J. Álvarez del Villar; A. Barrera M.,,"",2022-11-24T22:48:44Z,"",COORDINATE_ROUNDED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION,143,ID: 143
2629121199,63ed64cb-90b7-4ecc-b94c-3a0317742379,urn:catalog:ENCB-IPN:ENCB:788:e3929cc86efe01caca10f61490375446,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Acultzingo,Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.720301,-97.296898,,,0,0,0,0,1963-06-07T00:00:00Z,7,6,1963,5226604,5226604,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,788,"",T. Alvarez; J. C. López V.,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),J. Álvarez del Villar; A. Barrera M.,,"",2022-11-24T22:48:42Z,"",COORDINATE_ROUNDED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION,144,ID: 144
2629117344,63ed64cb-90b7-4ecc-b94c-3a0317742379,urn:catalog:ENCB-IPN:ENCB:787:e8094035860bb2576ed83e7d44cbea54,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Acultzingo,Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.720301,-97.296898,,,0,0,0,0,1963-06-07T00:00:00Z,7,6,1963,5226604,5226604,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,787,"",T. Alvarez; J. C. López V.,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),J. Álvarez del Villar; A. Barrera M.,,"",2022-11-24T22:48:38Z,"",COORDINATE_ROUNDED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION,145,ID: 145
2265802171,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/26213206,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,"",Puebla,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,19.945198,-97.974927,30527,,,,,,2016-10-14T15:48:46Z,14,10,2016,5226604,5226604,HUMAN_OBSERVATION,iNaturalist,Observations,26213206,"",Majo Monteverde Suarez,2019-06-01T23:24:37Z,CC_BY_NC_4_0,Majo Monteverde Suarez,Majo Monteverde Suarez,,"",2022-11-25T05:39:09Z,StillImage,COORDINATE_ROUNDED,149,ID: 149
2252008446,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/26213097,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,"",Puebla,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,19.987068,-97.92196,30527,,,,,,2016-10-14T15:46:05Z,14,10,2016,5226604,5226604,HUMAN_OBSERVATION,iNaturalist,Observations,26213097,"",Majo Monteverde Suarez,2019-06-01T23:23:26Z,CC_BY_NC_4_0,Majo Monteverde Suarez,Majo Monteverde Suarez,,"",2022-11-25T04:55:17Z,StillImage,COORDINATE_ROUNDED,150,ID: 150
2244261972,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/25377758,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,"",Puebla,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,19.979103,-98.005826,30527,,,,,,2015-12-30T13:30:36Z,30,12,2015,5226604,5226604,HUMAN_OBSERVATION,iNaturalist,Observations,25377758,"",Majo Monteverde Suarez,2019-05-19T13:05:06Z,CC_BY_NC_4_0,Majo Monteverde Suarez,Majo Monteverde Suarez,,"",2022-11-25T05:38:41Z,StillImage,COORDINATE_ROUNDED,154,ID: 154
1986589212,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/19445941,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,"",Veracruz,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,18.703703,-97.327588,30632,,,,,,2008-06-07T00:00:00Z,7,6,2008,5226604,5226604,HUMAN_OBSERVATION,iNaturalist,Observations,19445941,"",Christian Langner,2019-01-05T18:24:06Z,CC_BY_NC_4_0,Christian Langner,Christian Langner,,"",2022-11-25T04:54:03Z,"",COORDINATE_ROUNDED,161,ID: 161
